2018-11-17 02:16:04.621 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7-6
2018-11-17 02:16:04.621 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.622 INFO  com.hcq.socket.client.Client - 表达式为 ：2+8
2018-11-17 02:16:04.626 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息2+8
2018-11-17 02:16:04.628 INFO  com.hcq.socket.client.Client - 106
2018-11-17 02:16:04.629 INFO  com.hcq.socket.client.Client - 表达式为 ：6+9
2018-11-17 02:16:04.631 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6+9
2018-11-17 02:16:04.631 INFO  com.hcq.socket.client.Client - 111
2018-11-17 02:16:04.631 INFO  com.hcq.socket.client.Client - 表达式为 ：6*6
2018-11-17 02:16:04.632 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6*6
2018-11-17 02:16:04.632 INFO  com.hcq.socket.client.Client - 2916
2018-11-17 02:16:04.633 INFO  com.hcq.socket.client.Client - 表达式为 ：8-1
2018-11-17 02:16:04.634 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8-1
2018-11-17 02:16:04.634 INFO  com.hcq.socket.client.Client - 7
2018-11-17 02:16:04.634 INFO  com.hcq.socket.client.Client - 表达式为 ：2-7
2018-11-17 02:16:04.635 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息2-7
2018-11-17 02:16:04.635 INFO  com.hcq.socket.client.Client - -5
2018-11-17 02:16:04.636 INFO  com.hcq.socket.client.Client - 表达式为 ：8+1
2018-11-17 02:16:04.636 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8+1
2018-11-17 02:16:04.636 INFO  com.hcq.socket.client.Client - 105
2018-11-17 02:16:04.637 INFO  com.hcq.socket.client.Client - 表达式为 ：5-10
2018-11-17 02:16:04.637 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5-10
2018-11-17 02:16:04.638 INFO  com.hcq.socket.client.Client - 4
2018-11-17 02:16:04.638 INFO  com.hcq.socket.client.Client - 表达式为 ：5*10
2018-11-17 02:16:04.638 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5*10
2018-11-17 02:16:04.639 INFO  com.hcq.socket.client.Client - 2597
2018-11-17 02:16:04.639 INFO  com.hcq.socket.client.Client - 表达式为 ：9/7
2018-11-17 02:16:04.640 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9/7
2018-11-17 02:16:04.640 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.640 INFO  com.hcq.socket.client.Client - 表达式为 ：3+3
2018-11-17 02:16:04.641 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3+3
2018-11-17 02:16:04.642 INFO  com.hcq.socket.client.Client - 102
2018-11-17 02:16:04.642 INFO  com.hcq.socket.client.Client - 表达式为 ：5+6
